"BATHRM","HF_BATHRM","AC","BEDRM","AYB","EYB","QUALIFIED","GBA","STRUCT","CNDTN","ROOF","FIREPLACES","WARD","PRICE_TRANS","GRADE_MEDIAN_PRICE"
2,1,"Y",5,1910,1963,"Q",2443,"Expensive","Bad","Cheap",1,"Ward 1",1086.27804912002,1067.71
3,1,"Y",4,1910,1963,"Q",2611,"Expensive","Bad","Cheap",1,"Ward 1",1204.15945787923,1067.71
3,1,"Y",3,1895,1986,"Q",1952,"Expensive","Good","Cheap",2,"Ward 1",1185.32695911297,950.53
2,0,"Y",3,1900,1960,"Q",1128,"Expensive","Good","Cheap",0,"Ward 1",1024.69507659596,950.53
3,1,"Y",5,1905,1972,"Q",2512,"Expensive","Good","Cheap",4,"Ward 1",1170.46999107196,1067.71
3,0,"Y",4,1910,1960,"Q",1876,"Expensive","Bad","Cheap",1,"Ward 2",1058.30052442584,950.53
3,1,"Y",3,1900,1963,"Q",2206,"Expensive","Good","Cheap",1,"Ward 2",1224.74487139159,1067.71
2,1,"Y",2,1900,1964,"Q",1242,"Expensive","Good","Cheap",0,"Ward 2",897.217922246318,663.25
2,1,"Y",3,1900,1964,"Q",1852,"Expensive","Good","Cheap",1,"Ward 1",1074.80230740355,663.25
2,1,"Y",3,1900,1964,"Q",1852,"Expensive","Good","Cheap",1,"Ward 1",1018.57743937317,663.25
3,1,"Y",4,1881,1969,"Q",1815,"Expensive","Good","Cheap",1,"Ward 2",1200,950.53
4,0,"Y",4,1885,1969,"Q",2322,"Expensive","Good","Cheap",1,"Ward 2",1188.48643240047,950.53
1,0,"N",3,1870,1947,"U",1272,"Cheap","Bad","Cheap",0,"Ward 2",902.773504263389,782.62
2,0,"Y",3,1870,1980,"Q",1988,"Cheap","Good","Cheap",0,"Ward 2",1140.17542509914,782.62
2,0,"Y",3,1880,1967,"Q",1272,"Cheap","Good","Cheap",1,"Ward 2",1060.66017177982,782.62
1,0,"Y",2,1880,1967,"Q",1280,"Cheap","Good","Cheap",2,"Ward 2",1055.93560409714,782.62
1,0,"N",3,1916,1954,"Q",1618,"Expensive","Bad","Cheap",1,"Ward 2",1000,782.62
3,1,"Y",4,1900,1972,"Q",2924,"Expensive","Bad","Cheap",3,"Ward 2",1226.78441463853,1067.71
3,1,"Y",4,1890,1986,"Q",2382,"Expensive","Good","Cheap",3,"Ward 2",1264.91106406735,950.53
1,0,"Y",5,1890,1969,"Q",2262,"Expensive","Bad","Cheap",0,"Ward 2",1095.44511501033,950.53
2,1,"Y",4,1890,1969,"Q",2199,"Expensive","Good","Cheap",0,"Ward 2",1161.78741601035,950.53
4,1,"Y",6,1885,1986,"Q",2924,"Expensive","Good","Cheap",2,"Ward 2",1311.4877048604,950.53
4,1,"Y",5,1910,1969,"Q",2420,"Expensive","Good","Cheap",4,"Ward 2",1264.91106406735,950.53
1,0,"N",3,1925,1957,"Q",1330,"Expensive","Bad","Cheap",1,"Ward 2",908.295106229247,782.62
1,1,"Y",2,1900,1967,"Q",1148,"Expensive","Bad","Cheap",1,"Ward 2",965.660395791398,782.62
2,0,"Y",2,1918,1957,"Q",1148,"Expensive","Bad","Cheap",1,"Ward 2",886.002257333467,782.62
2,0,"Y",3,1917,1967,"Q",1260,"Expensive","Bad","Cheap",0,"Ward 2",1009.95049383621,782.62
3,1,"Y",4,1905,1972,"Q",2551,"Expensive","Good","Cheap",0,"Ward 2",1224.74487139159,1067.71
2,1,"Y",3,1907,1967,"Q",2040,"Expensive","Good","Cheap",2,"Ward 2",1159.74135047432,782.62
2,0,"Y",3,1913,1967,"Q",960,"Expensive","Good","Cheap",0,"Ward 2",1020.29407525478,782.62
4,1,"Y",4,1900,1957,"Q",3336,"Expensive","Bad","Expensive",0,"Ward 2",1204.15945787923,782.62
1,0,"Y",1,1833,1954,"Q",960,"Cheap","Bad","Cheap",1,"Ward 2",796.868872525461,663.25
2,1,"Y",3,1890,1986,"Q",1932,"Expensive","Good","Cheap",2,"Ward 2",1215.52457811432,950.53
2,1,"Y",3,1978,1992,"Q",1260,"Cheap","Good","Cheap",1,"Ward 2",1151.08644332213,950.53
4,0,"Y",4,1888,1963,"Q",2370,"Expensive","Good","Cheap",0,"Ward 2",1224.74487139159,1067.71
2,0,"Y",2,1890,1957,"Q",1536,"Expensive","Bad","Cheap",0,"Ward 1",895.321171423976,782.62
4,0,"Y",8,1900,1957,"Q",2928,"Expensive","Bad","Cheap",0,"Ward 2",1058.37611462088,782.62
4,0,"Y",4,1900,1984,"Q",1932,"Expensive","Good","Cheap",1,"Ward 6",1095.44511501033,782.62
1,0,"N",3,1881,1967,"Q",1536,"Expensive","Bad","Cheap",0,"Ward 6",875.214259481643,782.62
1,0,"N",3,1900,1943,"U",1416,"Expensive","Bad","Cheap",0,"Ward 6",500,663.25
2,0,"N",3,1900,1964,"Q",1464,"Expensive","Bad","Cheap",0,"Ward 1",924.662100445346,782.62
1,0,"N",3,1900,1954,"Q",1462,"Expensive","Bad","Cheap",0,"Ward 1",855.534920386071,663.25
1,1,"Y",2,1900,1964,"Q",1458,"Expensive","Bad","Cheap",2,"Ward 6",908.295106229247,663.25
2,0,"Y",3,1880,1964,"U",888,"Expensive","Good","Cheap",0,"Ward 6",816.088230524127,663.25
2,1,"Y",3,2000,2006,"Q",1244,"Expensive","Good","Cheap",1,"Ward 1",956.55632348545,950.53
2,1,"Y",3,2001,2007,"Q",1392,"Expensive","Good","Cheap",1,"Ward 1",906.917857360853,950.53
3,1,"Y",3,2001,2007,"Q",1244,"Expensive","Good","Cheap",1,"Ward 1",959.166304662544,950.53
2,1,"Y",3,2001,2007,"Q",1244,"Expensive","Good","Cheap",1,"Ward 1",935.414346693485,950.53
3,1,"Y",3,2001,2007,"Q",1244,"Expensive","Good","Expensive",1,"Ward 1",995.991967839099,950.53
2,1,"Y",3,2001,2011,"Q",1244,"Expensive","Good","Cheap",1,"Ward 1",979.795897113271,950.53
2,1,"Y",2,1900,1967,"Q",990,"Expensive","Good","Cheap",1,"Ward 1",839.642781187333,782.62
2,0,"N",3,1910,1957,"Q",1350,"Expensive","Bad","Cheap",0,"Ward 1",821.583836257749,782.62
3,1,"Y",4,1900,1969,"Q",1516,"Expensive","Good","Cheap",0,"Ward 1",1106.79718105893,950.53
2,0,"N",2,1909,1943,"Q",1720,"Cheap","Bad","Cheap",0,"Ward 6",902.773504263389,663.25
3,0,"N",3,1900,1957,"Q",2193,"Expensive","Bad","Cheap",0,"Ward 6",1002.49688278817,782.62
2,0,"N",4,1900,1957,"Q",2109,"Expensive","Bad","Cheap",0,"Ward 6",1059.24501414923,782.62
1,0,"N",2,1900,1954,"U",696,"Expensive","Bad","Cheap",0,"Ward 6",631.66446789415,663.25
1,0,"N",2,1900,1954,"U",754,"Expensive","Bad","Cheap",0,"Ward 6",670.820393249937,663.25
2,1,"Y",3,2001,2007,"Q",1244,"Expensive","Good","Cheap",1,"Ward 1",996.493853468249,950.53
3,1,"Y",3,2001,2007,"Q",1244,"Expensive","Good","Cheap",1,"Ward 1",966.953980290686,950.53
3,1,"N",3,1885,1960,"Q",2608,"Expensive","Bad","Cheap",0,"Ward 1",1012.42283656583,950.53
2,1,"Y",4,1909,1964,"Q",1780,"Expensive","Good","Cheap",0,"Ward 6",871.779788708135,663.25
2,1,"Y",2,1900,1964,"Q",1300,"Cheap","Good","Cheap",0,"Ward 6",891.62772500635,663.25
2,1,"N",4,1900,1957,"Q",1464,"Expensive","Bad","Cheap",0,"Ward 6",1093.16055545377,782.62
2,1,"Y",3,1900,1964,"Q",1440,"Expensive","Good","Cheap",0,"Ward 6",938.083151964686,663.25
2,1,"Y",3,1880,1964,"Q",1856,"Expensive","Good","Cheap",1,"Ward 6",990.454441153151,663.25
3,0,"Y",5,1900,1969,"Q",2235,"Expensive","Good","Cheap",2,"Ward 2",1118.03398874989,950.53
2,1,"Y",3,1894,1957,"Q",1787,"Expensive","Bad","Expensive",0,"Ward 6",886.002257333467,782.62
1,0,"N",3,1900,1960,"Q",2764,"Expensive","Bad","Cheap",0,"Ward 6",949.489336433011,950.53
2,1,"Y",2,1900,1986,"Q",1508,"Expensive","Good","Cheap",1,"Ward 6",1029.5630140987,950.53
1,1,"N",3,1914,1947,"U",1960,"Expensive","Bad","Cheap",1,"Ward 6",724.568837309472,663.25
2,1,"Y",3,1900,1964,"Q",1191,"Expensive","Good","Cheap",0,"Ward 6",904.433524367601,663.25
3,1,"Y",4,2001,2008,"Q",1615,"Expensive","Good","Cheap",1,"Ward 6",959.166304662544,1067.71
3,1,"Y",3,1889,1970,"Q",1009,"Expensive","Good","Cheap",1,"Ward 2",1118.03398874989,663.25
1,1,"Y",3,1900,1967,"Q",1226,"Expensive","Good","Cheap",0,"Ward 1",908.295106229247,782.62
3,1,"Y",4,1880,1967,"Q",2158,"Expensive","Good","Cheap",0,"Ward 1",1083.51280564652,782.62
2,1,"Y",2,1810,1957,"Q",902,"Cheap","Bad","Cheap",0,"Ward 1",887.411967464942,782.62
3,1,"Y",5,1895,1969,"Q",2473,"Expensive","Good","Cheap",1,"Ward 1",1140.17542509914,950.53
4,0,"N",4,1885,1960,"Q",2326,"Expensive","Bad","Cheap",1,"Ward 1",1000,950.53
3,1,"Y",4,1889,1969,"Q",2350,"Expensive","Good","Cheap",1,"Ward 1",1234.90890352285,950.53
2,1,"Y",3,1895,1969,"Q",1892,"Expensive","Good","Cheap",0,"Ward 1",1077.0329614269,950.53
2,1,"Y",3,1880,1964,"Q",832,"Expensive","Good","Cheap",0,"Ward 6",911.18494280799,663.25
1,0,"N",3,1911,1960,"Q",2350,"Expensive","Bad","Cheap",0,"Ward 6",866.025403784439,950.53
1,0,"Y",2,1911,1957,"U",974,"Expensive","Bad","Cheap",1,"Ward 6",663.32495807108,782.62
1,0,"N",2,1911,1957,"Q",928,"Expensive","Bad","Cheap",0,"Ward 6",727.667506489056,782.62
2,0,"Y",2,1900,1967,"Q",1236,"Expensive","Good","Cheap",1,"Ward 2",874.642784226795,782.62
2,0,"Y",2,1900,1964,"U",1134,"Expensive","Good","Cheap",0,"Ward 2",842.614977317636,663.25
1,0,"Y",3,1911,1964,"Q",1200,"Cheap","Good","Cheap",0,"Ward 6",830.662386291807,663.25
1,0,"N",3,1911,1954,"Q",1168,"Expensive","Bad","Cheap",0,"Ward 6",758.287544405155,663.25
2,1,"Y",2,1911,1967,"U",1168,"Expensive","Good","Cheap",0,"Ward 6",845.576726264388,782.62
2,1,"Y",3,1909,1954,"Q",1880,"Cheap","Bad","Cheap",1,"Ward 6",930.053761886914,663.25
2,1,"Y",2,1909,1964,"Q",1440,"Expensive","Good","Cheap",0,"Ward 6",870.631954387157,663.25
1,1,"Y",2,1909,1954,"Q",1440,"Expensive","Bad","Cheap",1,"Ward 6",737.156699759285,663.25
3,1,"Y",4,1967,1983,"Q",1640,"Expensive","Good","Cheap",0,"Ward 6",982.344135219425,782.62
3,1,"Y",3,1967,1974,"Q",1640,"Expensive","Bad","Cheap",0,"Ward 6",928.439551074813,782.62
3,1,"Y",3,1967,1983,"Q",1640,"Expensive","Bad","Cheap",1,"Ward 6",924.662100445346,782.62
3,1,"Y",3,1967,1974,"Q",1640,"Expensive","Bad","Cheap",0,"Ward 6",932.737905308882,782.62
3,1,"Y",4,1967,1983,"Q",1640,"Expensive","Good","Cheap",0,"Ward 6",995.489829179585,782.62
3,1,"Y",4,1965,1982,"Q",1640,"Expensive","Good","Cheap",0,"Ward 6",961.769203083567,782.62
2,0,"N",3,1900,1947,"Q",1980,"Expensive","Bad","Cheap",0,"Ward 1",987.420882906575,782.62
2,1,"Y",2,1900,1967,"Q",1580,"Expensive","Good","Cheap",1,"Ward 1",1014.88915650922,782.62
1,1,"Y",2,1900,1964,"Q",1120,"Expensive","Good","Cheap",1,"Ward 1",961.769203083567,663.25
1,1,"Y",3,1880,1967,"Q",1442,"Expensive","Good","Cheap",1,"Ward 1",974.166310236604,782.62
1,1,"Y",2,1890,1964,"Q",1056,"Expensive","Good","Cheap",0,"Ward 1",839.642781187333,663.25
1,1,"Y",2,1890,1957,"U",1200,"Expensive","Good","Cheap",0,"Ward 1",811.788149704096,782.62
1,1,"Y",2,1890,1964,"Q",954,"Expensive","Good","Cheap",0,"Ward 1",824.621125123532,663.25
2,1,"Y",2,1890,1964,"Q",1008,"Expensive","Good","Cheap",0,"Ward 1",842.614977317636,663.25
1,1,"Y",3,1909,1967,"Q",1768,"Expensive","Bad","Cheap",0,"Ward 6",883.176086632785,782.62
2,0,"N",2,1909,1954,"Q",1720,"Cheap","Bad","Cheap",0,"Ward 6",721.110255092798,663.25
2,2,"Y",4,1965,1982,"Q",1968,"Expensive","Good","Cheap",0,"Ward 6",953.939201416946,782.62
1,0,"Y",2,1880,1964,"Q",901,"Expensive","Good","Cheap",1,"Ward 6",800,663.25
3,1,"Y",3,1900,1984,"Q",1090,"Expensive","Good","Cheap",0,"Ward 6",972.972250375107,782.62
2,0,"Y",4,1880,1967,"Q",1424,"Expensive","Good","Cheap",2,"Ward 1",921.954445729289,782.62
1,1,"Y",2,1880,1957,"Q",1144,"Expensive","Good","Cheap",0,"Ward 1",948.156105290685,782.62
1,0,"N",3,1880,1943,"Q",1408,"Expensive","Bad","Cheap",0,"Ward 1",921.954445729289,663.25
2,1,"Y",3,1800,1964,"Q",1236,"Expensive","Bad","Cheap",2,"Ward 1",1048.80884817015,663.25
2,1,"Y",3,1870,1967,"Q",1760,"Expensive","Bad","Cheap",1,"Ward 1",1106.79718105893,782.62
1,1,"Y",3,1810,1967,"Q",1480,"Expensive","Good","Cheap",1,"Ward 1",1058.30052442584,782.62
2,0,"Y",3,1890,1964,"Q",1116,"Expensive","Good","Cheap",0,"Ward 1",851.46931829632,663.25
1,1,"Y",2,1890,1964,"Q",952,"Expensive","Good","Cheap",0,"Ward 1",836.660026534076,663.25
1,0,"N",2,1890,1954,"Q",546,"Expensive","Bad","Cheap",0,"Ward 1",724.568837309472,663.25
2,0,"Y",2,1990,1999,"Q",832,"Expensive","Good","Cheap",0,"Ward 1",833.666600026653,782.62
1,1,"N",3,1910,1957,"U",1382,"Expensive","Bad","Cheap",0,"Ward 1",612.372435695794,782.62
4,0,"Y",6,1890,1963,"Q",2206,"Expensive","Bad","Cheap",0,"Ward 2",1081.6653826392,1067.71
3,1,"N",5,1908,1957,"Q",1472,"Expensive","Bad","Cheap",0,"Ward 2",1048.80884817015,782.62
2,1,"N",4,1909,1957,"Q",1472,"Expensive","Bad","Cheap",0,"Ward 2",1072.38052947636,782.62
2,1,"Y",4,1905,1972,"Q",2037,"Expensive","Good","Cheap",2,"Ward 1",1142.36596587959,1067.71
3,0,"Y",3,1872,1967,"Q",1194,"Expensive","Good","Cheap",2,"Ward 2",1163.82988447625,782.62
2,0,"Y",3,1890,1964,"Q",1194,"Expensive","Good","Cheap",0,"Ward 2",1029.5630140987,663.25
2,1,"Y",2,1872,1967,"Q",1872,"Expensive","Good","Cheap",1,"Ward 2",1167.4759098157,782.62
2,0,"Y",2,1870,1969,"Q",1194,"Expensive","Good","Cheap",0,"Ward 2",1004.98756211209,950.53
2,1,"Y",2,1870,1967,"Q",1254,"Expensive","Good","Cheap",1,"Ward 2",1048.80884817015,782.62
2,1,"Y",3,1870,1967,"Q",1324,"Expensive","Good","Cheap",0,"Ward 2",1172.60393995586,782.62
3,0,"Y",6,1900,1972,"Q",2385,"Expensive","Good","Cheap",3,"Ward 2",1264.91106406735,1067.71
4,0,"Y",5,1900,1972,"Q",2628,"Expensive","Good","Cheap",0,"Ward 2",1274.7548783982,1067.71
3,0,"N",3,1912,1967,"Q",2304,"Expensive","Bad","Cheap",0,"Ward 2",1096.8135666557,782.62
1,1,"Y",3,1909,1954,"Q",1226,"Expensive","Bad","Cheap",0,"Ward 1",852.936105461599,663.25
2,1,"Y",3,1899,1964,"Q",1376,"Expensive","Good","Cheap",0,"Ward 1",987.420882906575,663.25
3,1,"Y",4,1890,1986,"Q",2137,"Expensive","Good","Cheap",2,"Ward 2",1208.30459735946,950.53
2,0,"N",3,1890,1960,"Q",1402,"Expensive","Bad","Cheap",0,"Ward 2",1095.44511501033,950.53
2,0,"N",5,1890,1957,"Q",2155,"Expensive","Good","Cheap",1,"Ward 2",1106.79718105893,782.62
2,1,"Y",3,1890,1969,"Q",1290,"Expensive","Good","Cheap",2,"Ward 2",1192.47641486111,950.53
3,0,"N",7,1890,1950,"U",2688,"Expensive","Bad","Cheap",0,"Ward 2",1048.80884817015,950.53
3,0,"Y",1,1916,2001,"Q",2016,"Cheap","Good","Cheap",0,"Ward 2",1024.69507659596,950.53
3,1,"Y",4,1968,1986,"Q",2150,"Expensive","Good","Cheap",1,"Ward 2",1224.33655503705,950.53
3,1,"Y",3,2001,2007,"Q",1244,"Expensive","Good","Cheap",1,"Ward 1",976.729235765982,950.53
2,1,"Y",2,2001,2007,"Q",1244,"Expensive","Good","Cheap",1,"Ward 1",956.55632348545,950.53
2,1,"Y",3,2001,2007,"Q",1244,"Expensive","Good","Cheap",1,"Ward 1",956.55632348545,950.53
3,1,"Y",4,2001,2009,"Q",2232,"Cheap","Good","Cheap",1,"Ward 1",1207.06255016051,1067.71
3,0,"N",6,1890,1960,"U",2486,"Expensive","Good","Cheap",0,"Ward 1",1095.44511501033,950.53
2,0,"Y",2,1953,1971,"Q",648,"Expensive","Bad","Cheap",1,"Ward 2",813.63382427232,663.25
4,0,"N",4,1900,1970,"Q",2252,"Expensive","Bad","Cheap",4,"Ward 2",1183.21595661992,1067.71
3,0,"Y",6,1916,1972,"Q",2100,"Expensive","Good","Cheap",1,"Ward 2",1153.25625946708,1067.71
3,0,"N",5,1900,1972,"Q",2128,"Expensive","Bad","Cheap",0,"Ward 2",1118.03398874989,1067.71
2,0,"Y",2,1900,1978,"Q",1054,"Expensive","Good","Cheap",1,"Ward 2",1068.8779163216,663.25
1,0,"Y",2,1900,1957,"Q",1728,"Expensive","Bad","Cheap",0,"Ward 2",894.427190999916,782.62
2,1,"Y",3,1960,1980,"Q",1224,"Expensive","Good","Cheap",2,"Ward 2",1027.13192920871,950.53
2,1,"Y",3,1960,1980,"Q",1224,"Expensive","Good","Cheap",2,"Ward 2",1040.19228991567,950.53
2,2,"Y",2,1961,1981,"U",1224,"Expensive","Good","Cheap",2,"Ward 2",908.845421400141,950.53
3,1,"Y",2,1957,1978,"Q",1572,"Expensive","Good","Cheap",2,"Ward 2",1157.58369027902,950.53
3,1,"Y",4,1908,1972,"Q",1748,"Expensive","Good","Cheap",1,"Ward 2",1095.9014554238,1067.71
3,0,"Y",5,1885,1960,"Q",2520,"Expensive","Good","Cheap",2,"Ward 2",1226.78441463853,950.53
4,0,"N",4,1900,1960,"Q",3119,"Expensive","Bad","Cheap",1,"Ward 2",1230.85336250912,950.53
2,1,"Y",3,1915,1967,"Q",1610,"Expensive","Good","Cheap",1,"Ward 1",1036.82206766639,782.62
2,1,"Y",2,1957,1978,"Q",1632,"Expensive","Good","Cheap",1,"Ward 2",1000,950.53
2,1,"Y",3,1915,1969,"Q",1528,"Expensive","Good","Cheap",1,"Ward 1",1161.89500386223,950.53
3,0,"Y",4,1915,1969,"Q",2006,"Expensive","Good","Cheap",1,"Ward 1",1183.21595661992,950.53
2,1,"Y",2,1885,1969,"Q",1981,"Expensive","Good","Cheap",1,"Ward 2",1203.74415886433,950.53
1,1,"Y",2,1950,1969,"Q",1392,"Expensive","Bad","Cheap",1,"Ward 2",900,663.25
1,0,"Y",2,1958,1975,"Q",700,"Expensive","Good","Cheap",1,"Ward 2",768.114574786861,663.25
2,1,"Y",2,1909,1967,"Q",1360,"Expensive","Good","Cheap",0,"Ward 2",1044.03065089106,782.62
3,1,"Y",6,1892,1960,"U",2736,"Expensive","Bad","Cheap",2,"Ward 2",1217.33315078494,950.53
2,1,"Y",3,1875,1964,"Q",1232,"Expensive","Good","Cheap",0,"Ward 2",1044.03065089106,663.25
3,0,"N",4,1880,1960,"Q",3128,"Cheap","Bad","Cheap",0,"Ward 2",1140.17542509914,950.53
3,1,"Y",4,1885,1967,"Q",1568,"Expensive","Good","Cheap",0,"Ward 2",1156.33040260991,782.62
1,0,"Y",2,1953,1962,"U",702,"Expensive","Good","Cheap",1,"Ward 2",808.02227692063,663.25
1,1,"Y",3,1911,1960,"Q",1156,"Expensive","Good","Cheap",0,"Ward 2",932.684298141659,782.62
2,1,"Y",5,1900,1969,"Q",2186,"Expensive","Good","Cheap",0,"Ward 2",1095.44511501033,950.53
2,0,"N",2,1912,1960,"Q",1254,"Expensive","Bad","Cheap",0,"Ward 2",1054.98815159223,950.53
2,0,"Y",3,1890,1960,"Q",1264,"Expensive","Bad","Cheap",0,"Ward 6",880.34084308295,950.53
2,0,"Y",3,1890,1969,"Q",1436,"Expensive","Good","Cheap",0,"Ward 6",1063.01458127346,950.53
2,0,"N",3,1890,1967,"Q",1116,"Expensive","Bad","Cheap",2,"Ward 6",851.46931829632,782.62
3,2,"Y",4,1880,1943,"Q",2520,"Expensive","Bad","Cheap",0,"Ward 6",935.414346693485,663.25
2,1,"N",4,1900,1969,"Q",2085,"Expensive","Good","Cheap",0,"Ward 6",953.939201416946,950.53
2,0,"Y",2,1959,1976,"Q",1022,"Expensive","Good","Cheap",0,"Ward 6",864.580823289529,663.25
3,1,"N",2,1885,1957,"Q",1662,"Expensive","Good","Cheap",3,"Ward 6",974.679434480896,782.62
1,0,"Y",4,1900,1969,"Q",1724,"Expensive","Good","Cheap",0,"Ward 6",954.463199919201,950.53
1,0,"Y",3,1900,1967,"Q",1922,"Expensive","Good","Cheap",0,"Ward 6",964.365076099295,782.62
4,1,"Y",5,1906,1969,"Q",2446,"Expensive","Bad","Cheap",3,"Ward 1",1140.17542509914,950.53
4,1,"Y",4,1920,1960,"Q",2429,"Expensive","Bad","Cheap",3,"Ward 1",1095.44511501033,950.53
4,1,"Y",4,1887,1982,"Q",2361,"Expensive","Good","Cheap",2,"Ward 2",1294.21791055448,950.53
2,1,"Y",3,1903,1964,"Q",1746,"Expensive","Good","Cheap",0,"Ward 1",883.865940061048,663.25
2,1,"Y",3,1900,1967,"Q",1124,"Expensive","Good","Cheap",1,"Ward 6",911.04335791443,782.62
2,1,"Y",3,1900,1967,"Q",2012,"Expensive","Good","Cheap",0,"Ward 6",1000,782.62
2,1,"Y",2,1900,1967,"Q",1160,"Expensive","Good","Cheap",1,"Ward 6",921.954445729289,782.62
2,1,"Y",2,1900,1967,"Q",1160,"Expensive","Good","Cheap",1,"Ward 6",883.176086632785,782.62
2,1,"Y",3,1900,1967,"Q",1449,"Expensive","Good","Cheap",1,"Ward 6",1044.98803820905,782.62
1,1,"Y",3,1900,1967,"Q",1365,"Expensive","Bad","Cheap",1,"Ward 6",908.295106229247,782.62
1,0,"N",5,1900,1954,"Q",2362,"Expensive","Bad","Cheap",0,"Ward 6",891.62772500635,782.62
4,1,"N",5,1886,1969,"Q",2320,"Expensive","Good","Cheap",3,"Ward 2",1288.02173894698,950.53
2,0,"N",2,1900,1957,"U",1124,"Expensive","Bad","Cheap",1,"Ward 6",800,782.62
2,1,"Y",3,1900,1964,"Q",952,"Expensive","Good","Cheap",0,"Ward 6",930.053761886914,663.25
4,0,"Y",6,1900,1969,"Q",2426,"Expensive","Bad","Cheap",0,"Ward 6",1118.03398874989,950.53
2,2,"Y",3,1900,1964,"Q",868,"Expensive","Good","Cheap",0,"Ward 6",852.667578837146,663.25
2,0,"Y",2,1909,1964,"U",1440,"Expensive","Bad","Cheap",0,"Ward 6",731.778655059028,663.25
